 1)	3
 2)	139
 3)	79
 4)	204
 5)	66
 6)	22
 7)	167
 8)	208
 9)	141
 10)	155
 11)	125
 12)	158
 13)	16
 14)	54
 15)	157
 16)	56
 17)	53
 18)	118
 19)	49
 20)	163
 21)	35
 22)	84
 23)	116
 24)	30
 25)	193
 26)	22
 27)	211
 28)	24
 29)	89
 30)	251
 31)	223
 32)	42
 33)	123
 34)	228
 35)	43
 36)	13
 37)	211
 38)	160
 39)	178
 40)	15
 41)	154
 42)	233
 43)	126
 44)	200
 45)	14
 46)	30
 47)	19
 48)	234
 49)	106
 50)	32
 51)	185
 52)	15
 53)	104
 54)	6
 55)	228
 56)	183
 57)	173
 58)	125
 59)	202
 60)	177
 61)	131
 62)	16
 63)	162
 64)	158
 65)	159
 66)	216
 67)	57
 68)	71
 69)	143
 70)	122
 71)	143
 72)	112
 73)	87
 74)	189
 75)	144
 76)	239
 77)	236
 78)	95
 79)	180
 80)	30
 81)	98
 82)	232
 83)	214
 84)	53
 85)	197
 86)	135
 87)	82
 88)	39
 89)	148
 90)	205
 91)	228
 92)	83
 93)	235
 94)	181
 95)	162
 96)	217
 97)	40
 98)	97
 99)	52
 100)	67
 101)	171
 102)	90
 103)	217
 104)	201
 105)	56
 106)	80
 107)	186
 108)	53
 109)	12
 110)	76
 111)	140
 112)	215
 113)	199
 114)	170
 115)	121
 116)	47
 117)	13
 118)	0
 119)	39
 120)	144
 121)	8
 122)	4
 123)	80
 124)	190
 125)	216
 126)	123
 127)	146
 128)	8
 129)	155
 130)	183
 131)	109
 132)	225
 133)	194
 134)	46
 135)	19
 136)	206
 137)	189
 138)	163
 139)	213
 140)	34
 141)	70
 142)	185
 143)	39
 144)	238
 145)	87
 146)	40
 147)	232
 148)	122
 149)	39
 150)	47
 151)	60
 152)	46
 153)	190
 154)	208
 155)	250
 156)	209
 157)	173
 158)	145
 159)	180
 160)	180
 161)	44
 162)	67
 163)	206
 164)	69
 165)	192
 166)	219
 167)	115
 168)	68
 169)	101
 170)	87
 171)	180
 172)	76
 173)	218
 174)	74
 175)	187
 176)	198
 177)	37
 178)	140
 179)	95
 180)	122
 181)	36
 182)	213
 183)	172
 184)	196
 185)	195
 186)	10
 187)	203
 188)	125
 189)	126
 190)	72
 191)	4
 192)	64
 193)	186
 194)	51
 195)	121
 196)	202
 197)	80
 198)	29
 199)	79
 200)	245
 201)	189
 202)	142
 203)	75
 204)	238
 205)	239
 206)	230
 207)	205
 208)	0
 209)	231
 210)	63
 211)	217
 212)	101
 213)	208
 214)	204
 215)	96
 216)	39
 217)	128
 218)	123
 219)	227
 220)	126
 221)	39
 222)	63
 223)	206
 224)	216
 225)	199
 226)	29
 227)	190
 228)	44
 229)	165
 230)	79
 231)	13
 232)	19
 233)	85
 234)	222
 235)	165
 236)	237
 237)	0
 238)	185
 239)	41
 240)	44
 241)	87
 242)	3
 243)	84
 244)	65
 245)	15
 246)	241
 247)	167
 248)	79
 249)	177
 250)	239
 251)	251
 252)	223
 253)	225
 254)	83
 255)	209
 256)	249
 257)	214
 258)	228
 259)	253
 260)	167
 261)	162
 262)	188
 263)	197
 264)	165
 265)	141
 266)	248
 267)	19
 268)	25
 269)	206
 270)	75
 271)	24
 272)	140
 273)	90
 274)	226
 275)	173
 276)	195
 277)	138
 278)	227
 279)	71
 280)	248
 281)	126
 282)	77
